Scenario,Year,Multi Family,Office,Retail,Storage,Hotel,Healthcare,Other
2.0c Immediate,2026,99,124,264,124,184,217,169
2.0c Immediate,2027,91,115,248,117,176,208,159
2.0c Immediate,2028,86,113,235,111,176,208,155
2.0c Immediate,2029,86,105,225,105,176,208,151
2.0c Immediate,2030,86,103,216,101,176,208,148
2.0c Immediate,2031,86,99,207,97,176,208,146
2.0c Immediate,2032,86,93,207,94,176,208,144
2.0c Immediate,2033,86,93,207,94,176,208,144
2.0c Immediate,2034,86,93,207,94,176,208,144
2.0c Immediate,2035,86,93,207,94,176,208,144
2.0c Immediate,2036,86,93,207,94,176,208,144
2.0c Immediate,2037,86,93,207,94,176,208,144
2.0c Immediate,2038,86,93,207,94,176,208,144
2.0c Immediate,2039,86,93,207,94,176,208,144
2.0c Immediate,2040,86,93,207,94,176,208,144
2.0c Immediate,2041,86,93,207,94,176,208,144
2.0c Immediate,2042,86,93,207,94,176,208,144
2.0c Immediate,2043,86,93,207,94,176,208,144
2.0c Immediate,2044,86,93,207,94,176,208,144
2.0c Immediate,2045,86,93,207,94,176,208,144
2.0c Immediate,2046,86,93,207,94,176,208,144
2.0c Immediate,2047,86,93,207,94,176,208,144
2.0c Immediate,2048,86,93,207,94,176,208,144
2.0c Immediate,2049,86,93,207,94,176,208,144
2.0c Immediate,2050,86,93,207,94,176,208,144
2.0c Delayed,2026,142,275,391,186,224,288,251
2.0c Delayed,2027,142,275,391,186,224,288,251
2.0c Delayed,2028,142,275,391,186,224,288,251
2.0c Delayed,2029,142,275,391,186,224,288,251
2.0c Delayed,2030,86,105,224,101,176,208,150
2.0c Delayed,2031,86,99,207,97,176,208,146
2.0c Delayed,2032,86,93,207,94,176,208,144
2.0c Delayed,2033,86,93,207,94,176,208,144
2.0c Delayed,2034,86,93,207,94,176,208,144
2.0c Delayed,2035,86,93,207,94,176,208,144
2.0c Delayed,2036,86,93,207,94,176,208,144
2.0c Delayed,2037,86,93,207,94,176,208,144
2.0c Delayed,2038,86,93,207,94,176,208,144
2.0c Delayed,2039,86,93,207,94,176,208,144
2.0c Delayed,2040,86,93,207,94,176,208,144
2.0c Delayed,2041,86,93,207,94,176,208,144
2.0c Delayed,2042,86,93,207,94,176,208,144
2.0c Delayed,2043,86,93,207,94,176,208,144
2.0c Delayed,2044,86,93,207,94,176,208,144
2.0c Delayed,2045,86,93,207,94,176,208,144
2.0c Delayed,2046,86,93,207,94,176,208,144
2.0c Delayed,2047,86,93,207,94,176,208,144
2.0c Delayed,2048,86,93,207,94,176,208,144
2.0c Delayed,2049,86,93,207,94,176,208,144
2.0c Delayed,2050,86,93,207,94,176,208,144
1.5c,2026,84,105,224,105,152,179,142
1.5c,2027,76,96,204,96,140,165,130
1.5c,2028,70,87,186,87,140,165,123
1.5c,2029,70,80,169,79,140,165,117
1.5c,2030,70,72,154,72,140,165,112
1.5c,2031,70,66,140,66,140,165,108
1.5c,2032,70,60,140,63,140,165,106
1.5c,2033,70,55,140,63,140,165,106
1.5c,2034,70,50,140,63,140,165,105
1.5c,2035,70,50,140,63,140,165,105
1.5c,2036,70,50,140,63,140,165,105
1.5c,2037,70,50,140,63,140,165,105
1.5c,2038,70,50,140,63,140,165,105
1.5c,2039,70,50,140,63,140,165,105
1.5c,2040,70,50,140,63,140,165,105
1.5c,2041,70,50,140,63,140,165,105
1.5c,2042,70,50,140,63,140,165,105
1.5c,2043,70,50,140,63,140,165,105
1.5c,2044,70,50,140,63,140,165,105
1.5c,2045,70,50,140,63,140,165,105
1.5c,2046,70,50,140,63,140,165,105
1.5c,2047,70,50,140,63,140,165,105
1.5c,2048,70,50,140,63,140,165,105
1.5c,2049,70,50,140,63,140,165,105
1.5c,2050,70,50,140,63,140,165,105
Baseline,2026,142,275,391,186,224,288,251
Baseline,2027,142,275,391,186,224,288,251
Baseline,2028,142,275,391,186,224,288,251
Baseline,2029,142,275,391,186,224,288,251
Baseline,2030,142,275,391,186,224,288,251
Baseline,2031,142,275,391,186,224,288,251
Baseline,2032,142,275,391,186,224,288,251
Baseline,2033,142,275,391,186,224,288,251
Baseline,2034,142,275,391,186,224,288,251
Baseline,2035,142,275,391,186,224,288,251
Baseline,2036,142,275,391,186,224,288,251
Baseline,2037,142,275,391,186,224,288,251
Baseline,2038,142,275,391,186,224,288,251
Baseline,2039,142,275,391,186,224,288,251
Baseline,2040,142,275,391,186,224,288,251
Baseline,2041,142,275,391,186,224,288,251
Baseline,2042,142,275,391,186,224,288,251
Baseline,2043,142,275,391,186,224,288,251
Baseline,2044,142,275,391,186,224,288,251
Baseline,2045,142,275,391,186,224,288,251
Baseline,2046,142,275,391,186,224,288,251
Baseline,2047,142,275,391,186,224,288,251
Baseline,2048,142,275,391,186,224,288,251
Baseline,2049,142,275,391,186,224,288,251
Baseline,2050,142,275,391,186,224,288,251
